

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2019-08-26,154,158,2,1.30,93472600,
FREN,2019-08-25,159,156,-2,-1.30,119937000,
FREN,2019-08-24,159,156,-2,-1.30,119937000,
FREN,2019-08-23,159,156,-2,-1.30,119937000,
FREN,2019-08-22,164,158,-5,-3.10,111358000,
FREN,2019-08-21,168,163,-4,-2.40,67206304,
FREN,2019-08-20,166,167,2,1.20,81452304,
FREN,2019-08-19,172,165,-6,-3.50,140248000,
FREN,2019-08-18,167,171,5,3.00,374839008,
FREN,2019-08-17,167,171,5,3.00,374839008,
FREN,2019-08-16,167,171,5,3.00,374839008,
FREN,2019-08-15,161,166,1,0.60,51068000,
FREN,2019-08-14,168,165,-1,-0.60,60251600,
FREN,2019-08-13,171,166,-4,-2.40,109520000,
FREN,2019-08-12,167,170,3,1.80,148114000,
FREN,2019-08-11,173,167,-3,-1.80,75355600,
FREN,2019-08-10,173,167,-3,-1.80,75355600,
FREN,2019-08-09,173,167,-3,-1.80,75355600,
FREN,2019-08-08,167,170,4,2.40,131918000,
FREN,2019-08-07,163,166,3,1.80,106444000,
FREN,2019-08-06,158,164,1,0.60,166720000,
FREN,2019-08-05,176,167,-9,-5.10,56082000,
FREN,2019-08-04,180,176,-4,-2.20,68035504,
FREN,2019-08-03,180,176,-4,-2.20,68035504,
FREN,2019-08-02,180,176,-4,-2.20,68035504,
FREN,2019-08-01,173,177,4,2.30,50455500,
FREN,2019-07-31,182,173,-8,-4.40,268080000,
FREN,2019-07-30,179,181,16,9.70,944803008,
FREN,2019-07-29,200,165,-34,-17.10,282318016,
FREN,2019-07-28,206,199,-3,-1.50,625633024,
FREN,2019-07-27,206,199,-3,-1.50,625633024,
FREN,2019-07-26,206,199,-3,-1.50,625633024,
FREN,2019-07-25,200,202,2,1.00,246178000,
FREN,2019-07-24,230,200,-30,-13.04,551094200,
FREN,2019-07-19,310,308,-2,-0.65,22642700,
FREN,2019-07-18,312,310,-2,-0.64,28394100,
FREN,2019-07-17,320,312,-8,-2.50,34286500,
FREN,2019-07-16,318,320,2,0.63,77570600,
FREN,2019-07-15,312,318,6,1.92,30769100,
FREN,2019-07-12,318,312,-6,-1.89,22313400,
FREN,2019-07-11,312,318,6,1.92,40934000,
FREN,2019-07-10,320,312,-8,-2.50,32467600,
FREN,2019-07-09,312,320,8,2.56,29285500,
FREN,2019-07-08,316,312,-4,-1.27,14882900,
FREN,2019-07-05,320,316,-4,-1.25,28315500,
FREN,2019-07-04,314,320,6,1.91,45290700,
FREN,2019-07-03,314,314,0,0.00,27921000,
FREN,2019-07-02,318,314,-4,-1.26,16623900,
FREN,2019-07-01,320,318,-2,-0.62,53750700,
FREN,2019-06-28,328,320,-8,-2.44,23111400,
FREN,2019-06-27,328,328,0,0.00,40324200,
FREN,2019-06-26,326,328,2,0.61,104079600,
FREN,2019-06-25,316,326,10,3.16,93907400,
FREN,2019-06-24,320,316,-4,-1.25,29004700,
FREN,2019-06-21,312,320,8,2.56,87955800,
FREN,2019-06-20,308,312,4,1.30,37901900,
FREN,2019-06-19,314,308,-6,-1.91,47985800,
FREN,2019-06-18,324,314,-10,-3.09,104940600,
FREN,2019-06-17,314,324,10,3.18,54062300,
FREN,2019-06-14,320,314,-6,-1.88,26088900,
FREN,2019-06-13,312,320,8,2.56,45500700,
FREN,2019-06-12,326,312,-14,-4.29,122823300,
FREN,2019-06-11,290,326,36,12.41,190284600,
FREN,2019-06-10,284,290,6,2.11,39076700,
FREN,2019-05-31,286,284,-2,-0.70,60415500,
FREN,2019-05-29,280,286,6,2.14,31621400,
FREN,2019-05-28,282,280,-2,-0.71,41852200,
FREN,2019-05-27,284,282,-2,-0.70,66085600,
FREN,2019-05-24,266,284,18,6.77,118539200,
FREN,2019-05-23,254,266,12,4.72,55219400,
FREN,2019-05-22,262,254,-8,-3.05,21646000,
FREN,2019-05-21,258,262,4,1.55,86333800,
FREN,2019-05-20,252,258,6,2.38,53632900,
FREN,2019-05-17,266,252,-14,-5.26,41419000,
FREN,2019-05-16,258,266,8,3.10,129124600,
FREN,2019-05-15,302,258,-44,-14.57,115555000,
FREN,2019-05-14,338,302,-36,-10.65,136285000,
FREN,2019-05-13,338,338,0,0.00,125536000,
FREN,2019-05-10,330,338,8,2.42,83226500,
FREN,2019-05-09,322,330,8,2.48,152389200,
FREN,2019-05-08,318,322,4,1.26,68830900,
FREN,2019-05-07,318,318,0,0.00,151799700,
FREN,2019-05-06,318,318,0,0.00,50837600,
FREN,2019-05-03,316,318,2,0.63,71042600,
FREN,2019-05-02,312,316,4,1.28,78037100,
FREN,2019-04-30,326,312,-14,-4.29,120965500,
FREN,2019-04-29,308,326,18,5.84,155841500,
FREN,2019-04-26,302,308,6,1.99,143151000,
FREN,2019-04-25,296,302,6,2.03,77945500,
FREN,2019-04-24,298,296,-2,-0.67,89101200,
FREN,2019-04-23,312,298,-14,-4.49,186275100,
FREN,2019-04-22,290,312,22,7.59,185363500,
FREN,2019-04-18,254,290,36,14.17,228271600,
FREN,2019-04-16,254,254,0,0.00,60385900,
FREN,2019-04-15,252,254,2,0.79,37373100,
FREN,2019-04-12,244,252,8,3.28,66988600,
FREN,2019-04-11,256,244,-12,-4.69,63802500,
FREN,2019-04-10,260,256,-4,-1.54,104559400,
FREN,2019-04-09,230,260,30,13.04,196669500,
FREN,2019-04-08,252,230,-22,-8.73,118934700,
FREN,2019-04-05,268,252,-16,-5.97,90013800,
FREN,2019-04-04,286,268,-18,-6.29,75311600,
FREN,2019-04-02,280,286,6,2.14,140110200,
FREN,2019-04-01,310,280,-30,-9.68,384533700,
FREN,2019-03-29,328,310,-18,-5.49,166213100,
FREN,2019-03-28,324,328,4,1.23,105799800,
FREN,2019-03-27,328,324,-4,-1.22,139372000,
FREN,2019-03-26,342,328,-14,-4.09,136980300,
FREN,2019-03-25,328,342,14,4.27,161623400,
FREN,2019-03-22,308,328,20,6.49,134130700,
FREN,2019-03-21,324,308,-16,-4.94,200750000,
FREN,2019-03-20,348,324,-24,-6.90,201348300,
FREN,2019-03-19,348,348,0,0.00,96436000,
FREN,2019-03-18,332,348,16,4.82,231318800,
